ico,company_name,legal_form,nace_description,city,employee_category,archetype
48041122,"ELEKTROŠTIKA, s.r.o.",Společnost s ručením omezeným,Výstavba bytových a nebytových budov,Praha - Nusle,medium,healthy
18628419,WAREX spol. s r.o.,Společnost s ručením omezeným,"Výroba kovových konstrukcí a kovodělných výrobků, kromě strojů a zařízení",Praha - Zličín,medium,healthy
27478661,Mencl Guss s.r.o.,Společnost s ručením omezeným,Výroba odlitků z oceli,Ohrazenice,medium,healthy
27548619,HK Plus s.r.o.,Společnost s ručením omezeným,Nespecializovaný velkoobchod,Hradec Králové - Třebeš,small,healthy
25628267,OK-COLOR spol. s r.o.,Společnost s ručením omezeným,Nespecializovaný velkoobchod,Praha - Libeň,small,healthy
48397334,Klaus Union CZ a.s.,Akciová společnost,Výroba strojů a zařízení pro všeobecné účely,Krnov - Pod Bezručovým vrchem,medium,distressed
65139399,DS - IZOLACE s. r. o.,Společnost s ručením omezeným,Ostatní stavební instalace,Olomouc - Pavlovičky,small,healthy
64943461,"GLEBUS ALLOYS EUROPE, s.r.o.",Společnost s ručením omezeným,Zprostředkování velkoobchodu a velkoobchod v zastoupení ,Náchod,small,healthy
25586033,"KAMOKO, s.r.o.",Společnost s ručením omezeným,Výroba plastových obalů,Modřice,small,healthy
25204572,"Strojírny Kohout, spol. s r.o.",Společnost s ručením omezeným,Obrábění,Kdyně,medium,healthy
3633039,"Property Sokolovská, s.r.o.",Společnost s ručením omezeným,Pronájem a správa vlastních nebo pronajatých nemovitostí,Praha - Krč,small,healthy
62907298,HELLA stínicí technika s.r.o.,Společnost s ručením omezeným,Výroba zámků a kování,Brno - Řečkovice,small,healthy
25143387,FIRST s.r.o.,Společnost s ručením omezeným,Správa nemovitostí na základě smlouvy,Praha - Holešovice,medium,healthy
25643983,AGROJIS s. r. o.,Společnost s ručením omezeným,Zprostředkování velkoobchodu a velkoobchod v zastoupení ,Praha - Řepy,small,healthy
17501407,Maršálkovo s.r.o.,Společnost s ručením omezeným,"Stravování v restauracích, u stánků a v mobilních zařízeních",Dubné,small,healthy
25735781,"Klasik Moto, a.s.",Akciová společnost,"Opravy a údržba motorových vozidel, kromě motocyklů",Praha - Košíře,small,healthy
25233866,bss BÁŇSKÁ STAVEBNÍ SPOLEČNOST s.r.o.,Společnost s ručením omezeným,Výstavba bytových a nebytových budov,Sokolov,medium,healthy
25320114,DIADEM TRADING s.r.o.,Společnost s ručením omezeným,Výstavba bytových a nebytových budov,Slavičín,small,healthy
5580510,"Ginger Capital, s.r.o.",Společnost s ručením omezeným,"Ostatní profesní, vědecké a technické činnosti",Praha - Vinohrady,small,healthy
3164314,RoseMed Holding s.r.o.,Společnost s ručením omezeným,Výroba potravinářských výrobků,Praha - Vinohrady,small,watch
25445421,"ELMO Schoř, s.r.o.",Společnost s ručením omezeným,Výstavba inženýrských sítí,Lovosice,medium,healthy
26271354,DISTRIMO s.r.o.,Společnost s ručením omezeným,Zprostředkování velkoobchodu a velkoobchod v zastoupení ,Popůvky,small,watch
19250975,Vdev s.r.o.,Společnost s ručením omezeným,Činnosti v oblasti informačních technologií,Praha - Chodov,small,healthy
27204545,bio nebio s.r.o.,Společnost s ručením omezeným,"Velkoobchod, kromě motorových vozidel ",Bavoryně - Průmyslová zóna,small,distressed
27989313,KLAUS Timber a.s.,Akciová společnost,Výroba dřevěných obalů,Kasejovice - Kladrubce,medium,healthy
60711086,"Technické služby Zlín, s.r.o.",Společnost s ručením omezeným,Odstraňování nebezpečných odpadů,Zlín - Louky,large,healthy
49680676,PURE FLIGHT s.r.o.,Společnost s ručením omezeným,"Výroba letadel a jejich motorů, kosmických lodí a souvisejících zařízení",Praha - Žižkov,small,distressed
25864416,PSA TRADING GROUP s.r.o.,Společnost s ručením omezeným,Zprostředkování velkoobchodu a velkoobchod v zastoupení ,Olomouc,small,healthy
5553750,NEO BUILDER a. s.,Akciová společnost,Výstavba bytových a nebytových budov,Praha - Uhříněves,medium,distressed
29268745,TUTA s.r.o.,Společnost s ručením omezeným,Zprostředkování velkoobchodu a velkoobchod v zastoupení ,Hodonín,small,healthy
4878621,"TROLL - HK, s.r.o.",Společnost s ručením omezeným,Výstavba bytových a nebytových budov,Hradec Králové,small,watch
25308785,"LEDEKO, a.s.",Akciová společnost,Živočišná výroba,Letovice,medium,healthy
45537232,TESMEN společnost s r.o.,Společnost s ručením omezeným,Zprostředkování specializovaného velkoobchodu a velkoobchod v zastoupení s ostatními výrobky j. n.,Červený Kostelec - Olešnice,small,watch
48533408,"AEROSERVIS, s.r.o.",Společnost s ručením omezeným,"Výroba letadel a jejich motorů, kosmických lodí a souvisejících zařízení",Brno - Tuřany,medium,watch
60319828,"BJV elektro, s. r. o.",Společnost s ručením omezeným,Instalace průmyslových strojů a zařízení,Ostrava - Vítkovice,small,watch
47048361,SALIMA Velim s.r.o.,Společnost s ručením omezeným,"Rostlinná a živočišná výroba, myslivost a související činnosti",Velim,small,healthy
26913216,"Správa a údržba silnic Slovácka, s.r.o.",Společnost s ručením omezeným,Výstavba silnic a dálnic,Uherské Hradiště - Jarošov,medium,healthy
24209139,"DaniDarx, s.r.o.",Společnost s ručením omezeným,Maloobchod v nespecializovaných prodejnách,Praha - Smíchov,small,healthy
27133664,MARPOSS s.r.o.,Společnost s ručením omezeným,Zprostředkování nespecializovaného velkoobchodu a nespecializovaný velkoobchod v zastoupení,Praha - Horní Počernice,small,watch
5879922,H&H Liberec s.r.o.,Společnost s ručením omezeným,"Stravování v restauracích, u stánků a v mobilních zařízeních",Liberec,medium,distressed
6554636,CZECH ANGLO PICTURES s.r.o.,Společnost s ručením omezeným,"Ostatní profesní, vědecké a technické činnosti",Praha - Braník,small,healthy
27223027,CHERRES a.s.,Akciová společnost,"Stravování v restauracích, u stánků a v mobilních zařízeních",Praha - Staré Město,medium,healthy
7227671,Packeta Innovations s.r.o.,Společnost s ručením omezeným,Činnosti v oblasti informačních technologií,Praha - Libeň,medium,watch
26427125,J & J Kubánek s.r.o.,Společnost s ručením omezeným,Silniční nákladní doprava,Všetaty - Přívory,medium,healthy
63995743,"Břenda - velkoobchod,spol. s r.o.",Společnost s ručením omezeným,Zprostředkování nespecializovaného velkoobchodu a nespecializovaný velkoobchod v zastoupení,Praha - Žižkov,small,healthy
29397987,CAR MOTORS s.r.o.,Společnost s ručením omezeným,Geologický průzkum,Praha - Žižkov,small,watch
26074109,Jiří Hladík s.r.o.,Společnost s ručením omezeným,Shromažďování a sběr nebezpečných odpadů,Záboří nad Labem,small,healthy
24295442,PECU Stáňa s.r.o.,Společnost s ručením omezeným,"Výroba pekařských, cukrářských a jiných moučných výrobků",Jíloviště,medium,healthy
28778260,Darren production s.r.o.,Společnost s ručením omezeným,Výroba ostatních textilií,Pardubice - Svítkov,small,healthy
11888539,R.D.I.Right Decision Int. s.r.o.,Společnost s ručením omezeným,Pronájem a správa vlastních nebo pronajatých nemovitostí,Praha - Nové Město,small,healthy
9151494,LB AGROSTAVBY s.r.o.,Společnost s ručením omezeným,Výstavba bytových a nebytových budov,Prostějov,small,healthy
5593221,"Accolade CZ XXVII, s.r.o., člen koncernu",Společnost s ručením omezeným,Pronájem a správa vlastních nebo pronajatých nemovitostí,Praha - Karlín,small,distressed
60471158,Danfoss s.r.o.,Společnost s ručením omezeným,Nespecializovaný velkoobchod,Praha - Michle,medium,healthy
27205193,Nakoplast CZ s.r.o.,Společnost s ručením omezeným,"Velkoobchod s železářským zbožím, instalatérskými a topenářskými potřebami",Církvice,small,healthy
24729051,JVS Line s.r.o.,Společnost s ručením omezeným,Silniční nákladní doprava,Polepy,medium,watch
